# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
27.98,0.10,4.16,7.41,2.00,0.17
28.04,0.54,5.21,7.85,3.00,0.27
28.17,1.19,5.29,6.14,3.00,0.28
28.23,0.25,2.01,3.33,2.00,0.04
28.30,1.06,3.81,5.40,3.00,0.15
28.36,0.18,3.42,5.07,3.00,0.12
28.49,0.55,3.47,4.66,2.00,0.12
28.55,0.91,3.27,5.16,3.00,0.11
28.62,0.76,2.99,5.03,3.00,0.09
28.68,0.19,2.70,4.81,2.00,0.07
28.81,0.11,2.72,4.81,2.00,0.07
28.87,0.21,2.95,4.60,2.00,0.09
28.94,0.39,2.02,2.34,1.00,0.04
29.00,0.39,1.67,2.34,1.00,0.03
29.13,0.12,1.37,2.59,1.00,0.02
29.19,0.28,1.20,1.92,0.00,0.01
29.26,0.06,1.02,1.57,0.00,0.01
29.32,2.44,9.04,10.90,1.00,0.82
29.45,0.98,10.50,19.31,2.00,1.10
29.51,0.15,10.56,19.81,3.00,1.11
29.57,1.85,13.46,21.57,4.00,1.81
29.64,1.32,14.09,23.03,4.00,1.98
29.77,0.99,9.22,17.16,4.00,0.85
29.83,0.19,8.74,16.65,3.00,0.76
29.89,1.73,8.75,14.32,2.00,0.77
29.96,1.30,4.59,5.06,2.00,0.21
30.09,0.54,3.31,5.40,2.00,0.11
30.15,0.21,3.74,7.35,3.00,0.14
30.21,0.60,4.46,8.88,4.00,0.20
30.27,0.59,4.47,8.89,4.00,0.20
30.40,1.17,7.17,10.72,4.00,0.51
30.47,0.34,7.60,13.23,4.00,0.58
30.53,0.75,7.05,12.22,3.00,0.50
30.59,0.59,7.20,13.08,3.00,0.52
30.72,2.05,7.86,11.95,3.00,0.62
30.78,0.72,5.31,7.92,3.00,0.28
30.85,0.85,6.17,10.88,4.00,0.38
30.91,0.44,6.19,9.79,3.00,0.38
31.04,1.35,6.76,8.76,3.00,0.46
31.10,2.19,7.57,8.47,3.00,0.57
