# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
22.17,-35.20,14.43,88.34,120.00,36.50,33.10
22.29,-41.15,1.88,93.35,120.00,39.80,28.70
22.36,-40.67,-17.80,94.74,120.00,120.00,26.40
22.42,-41.76,-1.40,92.83,120.00,40.60,28.70
22.55,-44.90,-14.79,95.19,120.00,45.10,27.00
22.61,-38.89,11.46,88.87,21.70,35.80,34.10
22.68,-43.30,-2.84,93.08,120.00,41.70,27.50
22.74,-45.36,-17.94,96.49,120.00,47.90,27.50
22.87,-35.19,3.11,91.74,120.00,37.80,33.50
22.93,-42.94,-1.65,94.15,120.00,41.00,31.30
23.00,-39.40,-10.82,95.90,120.00,39.90,31.60
23.06,-34.97,15.06,87.60,120.00,34.30,120.00
23.19,-42.91,-5.98,93.26,92.10,42.50,27.60
23.25,-38.67,-10.68,94.20,120.00,120.00,27.30
23.32,-37.21,-15.28,94.16,120.00,120.00,27.00
23.38,-36.88,-11.74,97.06,120.00,49.90,27.30
23.51,-44.80,-2.53,93.88,120.00,43.70,27.10
23.57,-41.83,-8.89,94.84,120.00,42.40,27.90
23.63,-37.61,-5.58,92.27,120.00,43.00,27.80
23.70,-41.76,-4.81,94.08,120.00,53.20,27.40
23.83,-42.07,-9.90,92.22,120.00,37.20,26.90
23.89,-31.13,22.24,81.37,120.00,34.40,81.40
23.95,-44.91,-1.89,92.88,120.00,45.30,29.30
24.02,-46.45,-14.83,93.69,120.00,120.00,28.70
24.15,-38.51,1.78,90.23,120.00,46.30,29.00
24.21,-44.13,-9.91,93.39,120.00,56.70,27.80
24.27,-44.76,-19.60,94.25,120.00,29.20,26.70
24.34,-41.02,0.43,89.24,120.00,48.20,29.80
24.46,-45.72,-13.39,92.15,120.00,120.00,26.60
24.53,-48.94,-25.05,92.53,120.00,120.00,27.80
24.59,-40.58,3.72,88.82,120.00,42.60,30.40
24.66,-45.05,-22.83,94.74,120.00,120.00,26.90
24.78,-39.03,-8.75,92.76,120.00,54.60,29.70
24.85,-48.78,-16.42,91.62,120.00,120.00,28.10
24.91,-38.53,1.18,91.30,120.00,40.40,32.20
24.97,-40.82,8.07,90.34,45.20,42.70,41.50
25.10,-44.62,-4.32,92.87,31.70,45.20,30.50
25.17,-41.04,5.91,91.00,120.00,43.40,32.80
