12.24,1,0,-31.1,3.1,-23.8,38,9.9,19.3,42.6,35.7,-14.41
12.3,1,3,-31.8,0.9,-20.9,45.8,9.8,16,42.2,37.1,-16.95
12.36,1,0,-31.8,0.9,-20.9,49.5,9.5,13.3,43.5,37.6,-21.1
12.43,1,0,-29.3,8.5,-21.7,38,10.4,16.6,41.8,38.2,-19.5
12.49,1,0,-29.5,9.1,-21.8,35.4,10.4,17.6,42.4,39.1,-22.31
12.55,1,0,-29.5,9.1,-21.8,27.9,11.3,14.5,42.2,39.6,-23.22
12.61,1,0,-30.5,15.7,-25.1,32.3,17.6,11.9,42.2,40.2,-24.28
12.68,0,0,-31.5,16.1,-20.2,33.2,15,11.9,42.3,41.2,-23.4
12.74,1,0,-30,14.7,-22,39.7,11.9,15.5,41.5,42.1,-20.13
12.8,1,0,-30,14.7,-22,30.8,11.9,15,41.7,42.6,-21.31
12.86,1,3,-27.7,17.2,-17.5,120,12.3,14.1,41.5,43.5,-19.68
13.17,1,0,-28.7,13.8,-23.3,10.9,12.2,15.9,41.2,46.3,-13.42
13.24,1,0,-27.4,9,-19.4,9.7,10.9,16.6,41.3,47.6,-10
13.3,1,0,-27.2,11.4,-18.8,15.2,10.9,13.7,41.7,48.3,-14.28
13.36,1,3,-25.6,13.9,-15.4,32.6,12,15,41.1,48.2,-1.34
13.43,1,0,-25,13,-16,23.9,11.6,17.8,41.5,48.3,3.1
13.49,1,4,-25.3,10,-18.4,11.8,10.7,120,42,48.7,13.73
13.55,1,0,-25.3,10,-18.4,21.7,10.4,22.9,42.5,48.6,14.65
13.62,1,0,-27.7,9.6,-12.3,32,14.3,17.1,42.5,49,18.63
13.68,1,3,-26.6,2.4,-8.8,120,11.5,27.2,42.8,49.5,32.75
13.74,1,3,-28.7,-0.3,-8.4,31.9,9.2,14.7,44,50.1,29.75
13.81,1,0,-27.7,-2.2,-12.7,30.3,9.3,11.6,44.6,50.6,27.87
13.87,1,0,-28.1,-7.3,-13.2,35.6,9.6,11.9,45.1,51,25.9
13.93,1,3,-32.3,-9.7,-12.6,120,9.3,10,45.8,51.3,18.02
13.99,1,0,-32.3,-9.7,-12.6,20.3,7.7,11,46.1,52,16.32
14.06,1,0,-27.4,-7.8,-12.6,34.6,7.2,12.7,45.9,52.7,14.52
14.12,1,0,-29.2,-9.1,-11.2,29.5,6.7,14.6,45.9,53.2,7.6
14.18,1,0,-29.2,-7.9,-10.5,29.4,5.6,5.7,45.9,53.9,-0.19
14.25,1,0,-29.2,-7.9,-10.5,29.4,5,120,45.7,54.9,-4.22
14.31,1,0,-25,-0.3,-9.4,27.1,5.5,14.3,45.6,55.9,-10.26
14.37,1,0,-22.6,3.1,-10.3,18.4,5.5,13.1,45.6,55.9,-10.26
14.58,1,0,-21.8,10,-16.9,11,19.1,11.6,45.6,55.9,-10.26
14.58,1,4,-20.6,11.4,-21.1,8.4,20,12.9,45.6,55.9,-10.26
14.86,1,0,-19,12.7,-7,7.5,19.8,14.3,45.3,61.7,-2.15
14.92,1,0,-20.5,16.6,-6.7,6.7,20.9,15.6,45.2,62.4,6.07
14.98,1,0,-20.2,19.4,-3.1,6,20,20.5,45.4,63.4,2.67
15.04,1,3,-21.7,14.1,2.5,5.3,19.4,22.6,45.4,63.6,-1.37
15.1,1,5,-21.7,14.1,2.5,5.5,19.9,29.4,45.4,63.6,-2.22
15.17,1,5,-23.6,1.8,5.1,3.5,21.1,17.4,45.1,63.6,-3
15.23,1,0,-22.3,5.5,3.7,3.6,19.1,16.8,45.1,63.6,0.37
15.29,1,0,-20.6,4.9,5.1,3.3,19.3,20.4,45.2,63.6,1.22
15.35,1,3,-24.5,8.2,7.3,3.8,20.3,18.3,45.1,63.7,9.97
15.42,1,5,-25,5.7,9,4,20.8,19.8,45.2,63.9,18.34
15.54,1,5,-23.8,4.8,8.8,3.6,23.9,15.3,46,63.9,11.71
15.61,0,5,-27.1,-2.4,11.8,3.5,21.5,15.4,46.6,64.4,15.43
15.67,0,5,-28.7,-1.8,13,3.8,20.4,15.3,47.2,64.8,14.28
15.73,1,5,-28.6,-0.4,13.9,4.8,19.6,16.1,46.7,64.6,23.29
15.79,1,3,-31.8,1.2,18.4,120,16.6,15.8,47.1,64.6,29.93
15.85,1,3,-27.1,-1.2,15.1,20.2,10.4,11.2,47.5,65.4,34.61
15.91,1,3,-24.2,0.3,12.3,19.9,14,11.7,47.1,65.8,40.44
15.98,1,3,-28.4,-6.1,11.7,20,19.4,10.8,47.5,65.6,38.4
16.04,1,3,-31.2,-7.9,12.7,29.7,14,11.1,47.7,66.2,35.42
16.1,1,0,-31.2,-7.9,12.7,120,19.2,8.9,48,66.3,34.39
16.16,1,3,-31.1,-18.8,1.9,17.6,21.8,8.8,48.5,67,31.86
16.22,1,3,-34.8,-16.1,9.3,120,20.1,8.8,48.7,67.4,27.53
16.29,1,0,-34.8,-16.1,9.3,17.9,19.3,9.3,48.9,67.4,32.56
16.35,1,5,-32.9,-14.4,11.8,18.4,19,9.3,49.2,67.7,34.89
16.41,1,0,-26,-15.4,2.7,14.5,21.9,9.6,49.2,67.7,33.56
16.48,1,0,-26,-15.4,2.7,15.4,21.3,9.8,49.4,67.7,43.03
16.54,1,5,-31.7,-16.7,6.4,17.7,21,11.2,49.9,68,41.88
16.6,1,3,-31.2,-17.5,6.4,16.3,19.2,11.7,50.4,69.1,44.99
16.66,1,5,-28.6,-17.8,4.2,33.6,23.3,12.6,51.1,69.9,60.21
16.73,1,3,-28.6,-17.8,4.2,120,21.9,19.1,51.6,69.5,41.97
16.79,1,3,-33.2,-19.9,6.4,120,18.2,22.2,51.5,70,27.51
16.91,1,2,-33.6,-24.2,1.9,108.5,20.5,21.3,51.5,70,27.51
17.29,1,0,-40.5,-32.1,-1.8,7.3,19.2,15.7,49.2,75.1,61.03
17.35,1,5,-44.7,-31.1,4.8,6.7,15.6,16.3,49,75.3,61.4
17.41,1,0,-44.7,-31.1,4.8,5.4,13.6,15.9,50.1,75.3,51.51
