# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
17.53,1,0,-80.4,8.4,-43.4,14.3,18.4,5.2,2.5,46.4,127.04
17.59,1,0,-80.4,8.4,-43.4,14.8,14.3,6.4,1.6,45.1,-130.81
17.65,1,0,-80.6,4.3,-42.3,13.2,15,5.6,1.7,44.9,-142.76
17.71,1,0,-81.3,3.1,-41.7,14.5,12.6,7,1.4,44.5,-127.71
17.78,1,0,-80.6,1.2,-41.3,15.1,11.4,9.8,2.4,45.5,129.1
17.84,1,0,-80.6,1.2,-41.3,16.8,10.7,14.3,2.4,45.5,126.49
17.9,1,0,-80.6,1.2,-41.3,14.9,10.1,24.4,2.4,45.5,125.93
17.97,0,0,-82.4,-4.8,-35.4,15.4,10.2,28.8,2.4,45.6,123.95
18.03,0,0,-80.1,-6.6,-36.5,15.9,10.7,30.5,1.8,44.8,-156.68
18.09,0,0,-78.3,-9,-37.2,17.2,10.6,31.1,2,45,164.09
18.15,0,3,-78.3,-9,-37.2,120,11,32.8,2.2,45.2,141.54
18.22,1,0,-78.3,-10.9,-35.1,19.3,11.4,41.6,2.4,45.5,125.43
18.28,1,3,-78.3,-10.9,-35.1,20.2,11.1,34.6,2.5,45.2,124.58
18.34,1,0,-74.3,-13.2,-36.2,22.9,11.1,31.3,3.3,45.9,118.37
18.41,1,3,-74.3,-13.2,-36.2,21.1,10.9,34.1,3.6,46,115.72
18.47,1,0,-74.3,-13.2,-36.2,19.9,9.9,31.3,3.3,45.7,113.48
18.53,1,3,-75.3,-14.7,-33.3,17.3,7.2,35.2,3.4,45.7,108.76
18.59,1,0,-76.7,-13,-33.8,14.5,8.5,32.2,3.7,45.8,105.49
18.66,1,0,-77.3,-14.7,-34.4,13.2,8,29.2,3.7,45.8,104.8
18.72,1,3,-77.3,-14.7,-34.4,120,7.2,120,3.7,45.8,104.27
18.78,1,3,-70.1,-17.2,-37.5,120,7.2,33.1,3.7,45.8,99.51
18.84,1,3,-67,-17.3,-37.7,120,7.4,25.4,3.8,45.8,93.59
18.9,1,3,-67,-17.3,-37.7,120,7.8,26.4,4,45.9,91.38
18.97,1,3,-65.5,-22.7,-33.6,120,6.9,34.3,4.1,45.9,91.08
19.03,1,3,-62.8,-18.5,-35.4,120,7.8,32.7,4.4,46,87
19.09,1,3,-61.7,-20.8,-36.5,120,8.1,34.7,4.8,46.1,80.81
19.16,1,3,-60.2,-19.6,-35.9,120,8.6,32,5,46,75.83
19.22,1,3,-60.4,-20.9,-35,120,7.8,37,5.9,46.3,72.8
19.28,1,3,-59.4,-22.1,-33.8,120,8.4,34.4,6.6,46.3,72.48
19.34,1,0,-58.5,-20.8,-33.6,90.9,14.3,31.7,6.5,46.5,72.88
19.4,1,3,-55.9,-23.2,-34.4,120,26.3,25.8,6.9,46.8,73.88
19.47,1,0,-54.1,-23.3,-31.2,59.8,14,24.9,7.1,47.4,79.47
19.53,1,0,-54.1,-23.3,-31.2,65.4,9.2,23.3,7.2,47.4,79.97
19.59,1,3,-52,-22.9,-28.7,54.3,11.2,24.6,7.5,47.4,81.37
19.66,1,0,-52,-23.6,-29.8,120,12.8,29,8.1,47.7,80.07
19.72,1,0,-54,-22.7,-32.1,120,20.8,25.3,9,48.7,82.93
19.78,1,3,-54,-22.7,-32.1,120,17.4,27.5,9.6,48.8,82.56
19.84,1,3,-53.2,-23.2,-31.8,120,14.1,29.9,10.4,48.8,82.11
19.91,1,3,-52.9,-22,-31.8,120,20.6,21.6,10.5,48.6,77.86
19.97,1,0,-58.5,-19.3,-33.9,120,120,13.4,10.6,48.9,74.86
20.03,1,0,-58.5,-19.3,-33.9,50.7,19.7,19.5,10.8,49.3,79.55
20.09,1,0,-60.1,-21.8,-30.5,44.4,12.2,21.9,11.1,49.7,84.69
