# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
18.40,1.23,-8.06,102.62,30.40,4.40,5.50
18.46,3.05,-6.70,104.22,31.00,4.50,5.20
18.59,-2.12,-9.27,102.39,29.60,5.00,4.60
18.66,-3.56,-10.91,101.61,29.00,4.80,4.80
18.72,6.16,-13.40,101.10,28.70,5.30,4.20
18.78,-1.93,-11.77,99.41,26.20,5.10,4.90
18.91,-1.54,-9.07,102.08,30.30,4.90,4.90
18.97,-1.95,-9.03,101.75,30.40,5.30,4.50
19.04,-2.15,-8.98,101.95,30.90,5.00,5.00
19.10,-2.08,-9.16,101.75,29.50,4.90,5.00
19.23,-2.04,-9.19,101.78,26.70,5.00,4.50
19.29,-1.88,-9.06,101.84,29.90,4.70,5.60
19.36,-1.89,-9.04,101.78,29.30,5.00,4.90
19.42,-1.90,-9.14,101.79,30.20,5.10,4.90
19.55,-2.01,-9.20,101.56,31.10,4.50,4.90
19.61,-2.10,-9.08,101.72,30.40,5.20,5.30
19.68,-2.03,-9.08,101.84,27.90,4.90,5.30
19.80,-2.00,-9.03,101.75,30.30,4.90,5.20
19.87,-1.99,-9.02,101.87,31.60,5.30,4.90
19.93,-2.04,-8.97,101.66,30.40,5.10,4.60
20.00,-2.01,-9.10,101.76,30.00,5.10,5.20
20.12,-2.02,-9.09,101.77,28.30,5.20,4.70
20.19,-2.05,-9.10,101.75,30.70,5.10,4.70
20.25,-2.04,-9.12,101.78,30.00,5.10,5.10
20.31,-2.06,-9.05,101.86,31.40,5.20,4.60
20.44,-2.01,-9.06,101.81,27.80,5.10,5.00
20.51,-1.97,-9.12,101.91,28.40,5.40,5.40
20.57,-1.98,-9.00,101.67,27.50,5.30,5.10
20.63,-1.95,-9.04,101.67,29.50,5.30,5.20
20.76,-1.92,-9.02,101.81,28.50,5.10,4.70
20.83,-2.09,-9.03,101.78,31.40,5.40,5.10
20.89,-2.12,-9.05,101.89,30.40,5.20,5.20
20.95,-2.14,-9.08,101.78,26.20,5.30,4.90
21.08,-2.06,-9.09,101.81,32.40,5.20,5.40
21.15,-1.98,-9.07,101.81,29.60,5.40,4.70
21.21,-2.09,-9.12,101.75,29.30,5.90,5.20
21.27,-2.06,-8.96,101.81,29.70,5.70,4.90
21.40,-2.01,-8.96,101.70,30.70,5.20,5.20
21.47,-1.92,-9.01,101.75,29.90,5.20,5.10
21.53,-1.98,-9.08,101.86,28.40,5.10,4.90
21.59,-2.00,-9.19,101.87,28.20,5.00,4.80
21.72,-2.07,-9.02,101.79,31.40,4.90,4.70
21.79,-1.97,-8.92,101.72,29.10,5.10,4.60
21.85,-1.97,-8.97,101.73,31.40,5.10,4.70
21.91,-2.03,-9.01,101.68,28.10,5.50,4.60
22.04,-1.83,-9.06,101.84,30.30,4.90,4.80
22.10,-1.86,-8.96,101.79,30.60,5.60,4.70
22.17,-1.89,-9.05,101.69,31.30,5.00,5.10
22.23,-1.92,-9.00,101.69,28.60,5.40,5.10
22.36,-2.05,-8.95,101.68,29.70,5.30,4.40
22.42,-2.86,-9.02,101.92,31.40,5.10,4.90
22.48,-0.14,-9.47,101.06,29.40,4.90,5.40
22.55,-2.18,-8.91,101.83,29.90,5.00,5.00
22.68,-4.04,-9.42,101.95,31.50,4.60,4.90
22.74,-5.22,-4.32,100.73,30.40,4.80,4.40
22.80,-2.95,-9.13,102.52,29.90,4.90,4.30
22.87,1.10,-7.15,102.22,29.50,4.80,4.60
23.00,-0.62,-7.09,101.68,29.60,4.70,4.30
